Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_163_1003-01_28	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_28	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_28	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_18	S1C1003_01724_vs01_168	0.42780748	0.3148515	151	1.1023681	711	3	0.004219409	1406469.9	1000000
S1C1003_01724_vs01_68_1003-01_18	S1C1003_01724_vs01_68	0.6932624	0.6102362	302	1.0656028	714	4	0.005602241	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_18	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_18	S1C1003_01336_vs01_36	26.170176	26.365759	718	61.93761	720	109	0.15138888	1388889	1000000
S1C1003_011133_vs01_15_1003-01_18	S1C1003_011133_vs01_15	2.033868	1.7247524	260	11.418493	711	10	0.014064698	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_16	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_16	S1C1003_01724_vs01_68	0.535461	0.54133856	302	0.24918434	714	2	0.0028011205	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_16	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_16	S1C1003_01336_vs01_36	70.67544	70.98638	717	750.571	720	287	0.3986111	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_16	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_55	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_55	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_55	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_55	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_55	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_24	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_24	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_24	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_24	S1C1003_01336_vs01_36	1.0596491	0.99416345	290	1.3250824	720	4	0.0055555557	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_24	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_54	S1C1003_01724_vs01_168	1.3903743	1.009901	151	11.991979	711	10	0.014064698	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_54	S1C1003_01724_vs01_68	1.3829787	1.003937	151	11.938324	714	10	0.014005602	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_54	S1C1003_01724_vs01_163	5.968254	5.3542075	142	106.83292	717	24	0.033472802	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_54	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_54	S1C1003_011133_vs01_15	1.3903743	1.009901	151	11.991979	711	10	0.014064698	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_21	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_21	S1C1003_01724_vs01_68	0.535461	0.48818898	194	0.6328433	714	2	0.0028011205	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_21	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_21	S1C1003_01336_vs01_36	9.859649	9.770428	673	39.199955	720	38	0.05277778	1388889	1000000
S1C1003_011133_vs01_15_1003-01_21	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_36	S1C1003_01724_vs01_168	2.326203	2.1029704	151	15.55233	711	9	0.012658228	1406469.6	1000000
S1C1003_01724_vs01_68_1003-01_36	S1C1003_01724_vs01_68	2.31383	2.0905511	151	15.498138	714	9	0.012605042	1400560.1	1000000
S1C1003_01724_vs01_163_1003-01_36	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_36	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_36	S1C1003_011133_vs01_15	8.445633	8.0990095	423	79.436775	711	32	0.04500703	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_41	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_41	S1C1003_01724_vs01_68	1.106383	1.015748	328	1.7186803	714	5	0.007002801	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_41	S1C1003_01724_vs01_163	1.2328042	1.2622309	453	0.7796287	717	5	0.006973501	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_41	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_41	S1C1003_011133_vs01_15	3.6541889	3.429703	429	11.5409155	711	14	0.019690577	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_47	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_47	S1C1003_01724_vs01_68	1.070922	1.0393701	291	1.1530429	714	4	0.005602241	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_47	S1C1003_01724_vs01_163	5.4074073	5.313112	361	28.648212	717	21	0.029288704	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_47	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_47	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
