Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_163_1003-01_18	S1C1003_01724_vs01_163	0.34567901	0.2778865	167	0.5728744	717	4	0.0055788006	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_18	S1C1003_01724_vs01_68	0.63297874	0.6496063	449	0.2327293	714	3	0.004201681	1400560.1	1000000
S1C1003_01336_vs01_36_1003-01_18	S1C1003_01336_vs01_36	29.90351	30.363813	704	80.2701	720	140	0.19444445	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_18	S1C1003_011133_vs01_15	5.855615	5.8752475	673	8.598759	711	26	0.036568213	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_19	S1C1003_01724_vs01_168	0.40998217	0.34851485	115	0.65304303	711	2	0.0028129395	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_19	S1C1003_01724_vs01_163	0.98941797	0.94716245	425	0.7066016	717	4	0.0055788006	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_19	S1C1003_01724_vs01_68	0.5319149	0.5098425	286	0.29915726	714	2	0.0028011205	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_19	S1C1003_01336_vs01_36	85.292984	85.70817	720	193.94388	720	432	0.6	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_19	S1C1003_011133_vs01_15	0.43493763	0.37623763	171	0.68192005	711	4	0.005625879	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_3	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_163_1003-01_3	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01724_vs01_68_1003-01_3	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01336_vs01_36_1003-01_3	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_3	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_32	S1C1003_01724_vs01_168	4.053476	4.0970297	644	5.0114207	711	24	0.033755273	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_32	S1C1003_01724_vs01_163	7.522046	7.4657536	686	5.398365	717	37	0.051603906	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_32	S1C1003_01724_vs01_68	5.7358155	5.781496	707	5.6050386	714	30	0.042016808	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_32	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_32	S1C1003_011133_vs01_15	6.5115867	6.5366335	699	5.607455	711	33	0.046413504	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_36	S1C1003_01724_vs01_168	4.41533	4.469307	700	2.4646928	711	22	0.030942334	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_36	S1C1003_01724_vs01_163	5.733686	5.737769	676	3.5420258	717	27	0.037656903	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_36	S1C1003_01724_vs01_68	3.214539	3.25	667	3.7283144	714	16	0.022408964	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_36	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_36	S1C1003_011133_vs01_15	7.6327987	7.732673	695	9.193496	711	39	0.05485232	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_31	S1C1003_01724_vs01_168	3.1283422	3.0475247	666	3.744213	711	13	0.018284107	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_31	S1C1003_01724_vs01_163	2.585538	2.4990215	527	4.363253	717	15	0.020920502	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_31	S1C1003_01724_vs01_68	4.3439717	4.13189	671	13.206518	714	20	0.028011205	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_31	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_31	S1C1003_011133_vs01_15	8.069519	8.073267	669	9.78623	711	41	0.05766526	1406469.9	1000000
S1C1003_01724_vs01_168_1003-01_13	S1C1003_01724_vs01_168	7.7664886	7.4257426	649	36.336445	711	39	0.05485232	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_13	S1C1003_01724_vs01_163	4.1957674	4.1291585	706	3.3556008	717	24	0.033472802	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_13	S1C1003_01724_vs01_68	8.861702	8.702756	686	28.701973	714	48	0.067226894	1400560.1	1000000
S1C1003_01336_vs01_36_1003-01_13	S1C1003_01336_vs01_36	17.822807	17.784046	670	59.29192	720	88	0.12222222	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_13	S1C1003_011133_vs01_15	12.115865	11.990099	702	20.07048	711	58	0.081575245	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_39	S1C1003_01724_vs01_168	9.128343	9.136634	701	9.279928	711	48	0.067510545	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_39	S1C1003_01724_vs01_163	10.45679	10.246575	698	45.32984	717	50	0.069735005	1394700.1	1000000
